day,id,time,БВТ2101,БВТ2102,БВТ2103,БВТ2104,БВТ2105,БВТ2106,БВТ2107,БВТ2108
,,,"Физика 
Вальковский С.Н.  лаб
(с 07.02 по 22.05.2022)  Ауд.  342","Иностранный язык 
Павлова А.Ю.  пр
(до 22.05.2022) Ауд216а","Основы DevOps
Никишкин К.Д.,  лаб
(с 07.02 по 22.05.2022)  Ауд. ВЦ118","Высшая математика
Куприн А.В.   пр
(до 29.05.2022) Ауд.302 ","Введение в информационные технологии
Мкртчян Г.М.  пр
 Ауд.216","История
Кунц Е.В.  ауд.508  пр
 (до 29.05.2022)","Иностранный язык
Павлова А.Ю.  пр
 (до 22.05.2022) ауд. 324","Элективные дисциплины по физической культуре
Королёва С.А.  Пр"
,3,13:10-14:45,"Высшая математика
Фроловичев С.М.  пр
 (до 29.05.2022) Ауд.  302","Элективные дисциплины по физической культуре
Королёв И.В.",,"Основы DevOps 
Никишкин К.Д.,   лаб
(с 07.02 по 22.05.2022) Ауд. ВЦ118 ","Микропроцессорные системы
Нехорошев  пр
(до 15.05.2022) ВЦ127","История
Кунц Е.В.  пр
 (до 29.05.2022)
Ауд.509",,
,,,"Микропроцессорные системы 
Нехорошев Ю.И.  лаб
(с 07.02 по 22.05.2022) Ауд. 216А","Элективные дисциплины по физической культуре
Королёв И.В.","Физика 
Вальковский С.Н. лаб
(с 07.02 по 22.05.2022) Ауд. 342 ","Основы DevOps 
Никишкин К.Д.,  пр
(до 22.05.2022)  Ауд. 314 ","Высшая математика 
Фроловичев С.М. ауд.302 пр
(до 29.05.2022)","Иностранный язык 
Павлова А.Ю.  ауд.509  пр
 (до 22.05.2022)","История
Кунц Е.В.  пр
 (до 29.05.2022) ауд. 324","Введение в информационные технологии
Мкртчян Г.М.  Пр
ВЦ127"
,4,15:25-17:00,"Элективные дисциплины по физической культуре
Симкачёва Т.В.  1001  пр",,,"Иностранный язык
Павлова А.Ю.  пр
 (до 22.05.2022) Ауд.216а","История 
Кунц Е.В.  пр
(до 29.05.2022)
Ауд.314","Иностранный язык
Павлова А.Ю.  пр
 (до 15.05.2022)
Ауд.401",,
,,,"Элективные дисциплины по физической культуре
  Симкачёва Т.В.  1001  пр",,,"Иностранный язык 
Павлова А.Ю.  пр
(до 22.05.2022)  Ауд.314 ",,"Введение в информационные технологии 
Мкртчян Г.М.  ауд.401  пр","История
Кунц Е.В.  пр
 (до 29.05.2022)  ауд. 318","Иностранный язык
Павлова А.Ю.   ауд.324 пр
(до 22.05.2022)"
,5,17:15-18:50,,,,,"История 
Кунц Е.В.  пр
(с 23.05. по 29.05.2022)
Ауд.328","Элективные дисциплины по физической культуре
Разинков Д.В.  Пр",,
,,,,,,,,"Основы DevOps 
Никишкин К.Д.,   ауд.401 пр
(до 22.05.2022)","История
Кунц Е.В.  пр
 (с 23.05. по 29.05.2022) ауд. 318",
,,,,,,,,,,
СР,1,9:30-11:05,"Физика
Латышев С.В.  пр
 (до 15.05.2022) Ауд. 226",,"Иностранный язык
Павлова А.Ю.  пр
 (до 22.05.2022) Ауд330а",,,,,"История
Кунц Е.В.  пр
 (до 29.05.2022)  Ауд. 318"
,,,"История
Кунц Е.В.  пр
(до 29.05.2022) Ауд. 216а","Введение в информационные технологии
Мкртчян Г.М.  лаб
 Авиамоторная    Ауд. ЗФ-301  ",,,"Микропроцессорные системы
Нехорошев Ю.И. лек
(до 29.05.2022)  
Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)  
Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)  
Ауд.221","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)
Ауд.221"
,2,11:20-12:55,"Иностранный язык
Павлова А.Ю.  пр
 (до 22.05.2022) Ауд. 450",,"Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022) Ауд.330а",,"Высшая математика 
Гетманская И.В.  лек
(до 29.05.2022)  
Ауд.301","Высшая математика 
Гетманская И.В.  лек
(до 29.05.2022)  
Ауд.301","Высшая математика 
Гетманская И.В.  лек
(до 29.05.2022)  
Ауд.301","Высшая математика 
Гетманская И.В.  лек
(до 29.05.2022)
Ауд.301"
,,,"Иностранный язык 
Павлова А.Ю.  пр
(до 22.05.2022) Ауд. 450","Введение в информационные технологии
Мкртчян Г.М.   лаб
 Авиамоторная    Ауд. ЗФ-301 ","Иностранный язык 
Павлова А.Ю. пр
(до 22.05.2022) Ауд.314  ",,"Высшая математика
Гетманская И.В.  лек
 (до 29.05.2022)  
Ауд.301","Высшая математика
Гетманская И.В.  лек
 (до 29.05.2022)  
Ауд.301","Высшая математика
Гетманская И.В.  лек
 (до 29.05.2022)  
Ауд.301","Высшая математика
Гетманская И.В.  лек
 (до 29.05.2022)
Ауд.301"
,3,13:10-14:45,"История
Кунц Е.В.  пр
 (до 29.05.2022) Ауд. 328","Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022) Ауд.330а","Иностранный язык
Павлова А.Ю.  пр
 (до 15.05.2022) Ауд.322","Элективные дисциплины по физической культуре
Горячева Н.Н.  Пр","Микропроцессорные системы
Нехорошев Ю.И.  лек 
(до 29.05.2022)  
Ауд.514","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)  
Ауд.514","Микропроцессорные системы
Нехорошев Ю.И. лек
(до 29.05.2022)  
Ауд.514","Микропроцессорные системы
Нехорошев Ю.И.  лек
(до 29.05.2022)
Ауд.514"
,,,"Основы DevOps 
Никишкин К.Д.,  пр
(до 22.05.2022) Ауд. 518",,"История
Кунц Е.В.  пр
(до 29.05.2022) Ауд.318 ",,"Физика
Латышев С.В.  лек
 (до 15.05.2022)  
Ауд.226","Физика
Латышев С.В.  лек
 (до 15.05.2022)  
Ауд.226","Физика
Латышев С.В.  лек
 (до 15.05.2022)  
Ауд.226","Физика
Латышев С.В.  лек
 (до 15.05.2022)
Ауд.226"
,4,15:25-17:00,"Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022) Ауд. 328","Высшая математика
Фроловичев С.М.  пр
 (до 29.05.2022) Ауд.302",,"Физика
Латышев С.В.  пр
 (до 15.05.2022) Ауд.226","Основы DevOps 
Городничев М.Г.  лек
(до 29.05.2022)  
Ауд.458","Основы DevOps 
Городничев М.Г.  лек
(до 29.05.2022)  
Ауд.458","Основы DevOps 
Городничев М.Г.  лек
(до 29.05.2022)
Ауд.458","Основы DevOps 
Городничев М.Г.  лек
(до 29.05.2022)
Ауд.458"
,,,"Высшая математика 
Фроловичев С.М.  пр
(до 29.05.2022) Ауд. 524",,"Высшая математика
Гетманская И.В.  пр
(до 29.05.2022) Ауд.410 ",,"История
Кунц Е.В.  лек
 (до 29.05.2022)  
Ауд.227","История
Кунц Е.В.  лек
 (до 29.05.2022)  
Ауд.227","История
Кунц Е.В.  лек
 (до 29.05.2022)
Ауд.227","История
Кунц Е.В.  лек
 (до 29.05.2022)
Ауд.227"
,5,17:15-18:50,,,,"Русский язык и культура речи
Бочарова Т.И.  пр
(до 29.05.2022) Ауд.347",,,,
,,,,,"Высшая математика
Гетманская И.В. Ауд.308 пр",,,,,
,,,,,,,,,,
ЧТ,1,9:30-11:05,"Микропроцессорные системы
Нехорошев Ю.И.  пр
(до 15.05.2022) Ауд. 219","Физика 
Латышев С.В.  пр
(до 15.05.2022) Ауд. 226","Элективные дисциплины по физической культуре
Королёв И.В.  Пр","Высшая математика 
Куприн А.В.  пр
(до 29.05.2022) Ауд. 308","Иностранный язык 
Чупак Н.М.  пр
(до 22.05.2022)  Ауд. 219",,,
